id,sup,tot,ht_h,ht_a,ft_h,ft_a
1602,0.62,2.64,0,1,0,3
1603,-0.15,2.75,0,1,0,2
1604,0.72,2.69,0,0,1,1
1605,0.75,2.22,0,0,0,0
1606,-0.04,2.53,1,1,1,2
1607,1.61,2.64,0,0,3,0
1608,1.19,2.29,2,0,2,0
1609,0.55,2.85,1,0,2,0
1610,0.28,2.43,1,1,2,1
1611,1.95,2.76,4,0,4,1
1612,0.66,2.76,1,0,2,2
1613,-0.08,2.42,0,0,2,0
1614,0.32,2.92,1,0,2,0
1615,0.39,2.4,1,1,3,2
1616,0.07,2.61,0,0,0,0
1617,0.89,2.79,2,1,2,1
1618,1.22,3.13,1,0,2,0
1619,-0.5,2.92,0,0,0,0
1620,0.69,2.31,1,0,2,0
1621,0.36,2.64,0,0,0,0
1622,1.17,2.73,0,0,2,0
1623,-0.8,2.8,1,1,1,2
1624,-0.3,2.51,0,0,0,0
1625,0.11,2.81,1,0,1,1
1626,1.07,2.88,1,0,1,1
1627,0.06,3.34,0,0,2,2
1628,0.15,2.56,1,0,1,0
1629,-0.24,2.7,2,2,3,3
1630,0.79,2.71,1,0,3,0
1631,-0.59,2.87,2,0,2,0
1632,1.42,2.71,1,0,1,0
1633,1.36,2.77,1,1,1,2
1634,0.42,2.45,2,0,4,0
1635,-0.43,2.96,1,0,1,1
1636,0.13,2.95,2,1,3,1
1637,-1.02,2.84,0,0,0,2
1638,0.45,2.74,0,0,2,0
1639,-0.22,2.4,0,1,0,3
1640,-0.37,2.37,1,1,2,1
1641,0.54,2.8,0,0,1,0
1642,1.16,2.63,2,1,3,3
1643,0.01,2.33,3,2,3,3
1644,0.28,2.58,0,0,1,2
1645,0.77,2.65,0,1,1,2
1646,-0.41,3.16,0,0,1,2
1647,0.34,2.43,0,0,1,0
1648,0.51,3.25,1,1,5,1
1649,0.33,2.95,0,0,0,0
1650,-0.4,2.5,1,1,1,2
1651,0.68,2.85,1,2,2,3
1652,0.95,2.37,2,0,2,1
1653,0.36,2.33,0,0,2,1
1654,0.41,2.92,2,0,3,0
1655,0.3,2.79,2,0,2,1
1656,1.06,2.95,1,0,3,0
1657,1.08,2.51,1,0,1,0
1658,-0.22,3.12,1,0,2,1
1659,-0.26,2.72,0,0,0,0
1660,-1.38,3,0,2,0,5
1661,-1.37,3.26,0,0,0,3
1662,-0.74,2.91,1,1,1,2
1663,0.66,2.9,1,1,3,2
1664,0.37,2.55,1,0,2,1
1665,0.98,3.05,3,1,6,4
1666,0.09,2.59,0,0,3,2
1667,0.53,2.6,1,0,2,3
1668,0.63,2.4,1,0,2,0
1669,-0.09,2.58,1,3,2,3
1670,1.58,3.12,1,1,1,2
1671,0.27,2.19,0,0,0,0
1672,0.68,2.17,1,0,1,0
1673,0.81,2.33,1,0,2,0
1674,-0.53,2.54,0,0,0,0
1675,-0.77,2.84,0,0,1,1
1676,0.34,3.03,1,1,3,2
1677,-0.53,2.49,0,1,0,2
1678,-0.21,2.97,0,0,0,1
1679,-0.11,3.18,2,1,4,1
1680,-0.07,2.5,2,0,3,0
1681,1,2.45,2,0,3,0
1682,1.34,2.94,3,0,4,1
1683,0.36,2.78,1,0,3,2
1684,1.71,2.7,1,0,1,1
1685,0.82,2.79,0,0,0,0
1686,0.06,2.44,0,0,0,0
1687,1.24,3.28,1,0,5,0
1688,0.32,2.5,0,0,0,2
1689,2,3.14,1,0,2,1
1690,0.16,2.88,0,1,0,2
1691,-0.61,2.76,1,1,3,2
